day,actual,testPredict
0,2.0,
1,2.0,
2,2.0,
3,2.0,
4,2.0,
5,3.0,
6,3.0,
7,3.0,
8,6.0,
9,6.0,
10,6.0,
11,6.0,
12,6.0,
13,6.0,
14,6.0,
15,6.0,
16,7.0,
17,7.0,
18,8.0,
19,8.0,
20,8.0,
21,8.0,
22,8.0,
23,8.0,
24,8.0,
25,8.0,
26,10.0,
27,10.0,
28,10.0,
29,10.0,
30,10.0,
31,10.0,
32,11.0,
33,11.0,
34,12.0,
35,12.0,
36,21.0,
37,25.0,
38,35.0,
39,51.0,
40,59.0,
41,81.0,
42,95.0,
43,101.0,
44,144.0,
45,178.0,
46,221.0,
47,281.0,
48,372.0,
49,373.0,
50,557.0,
51,700.0,
52,828.0,
53,1005.0,
54,1243.0,
55,1405.0,
56,1646.0,
57,2108.0,
58,2538.0,
59,2998.0,
60,3899.0,
61,4657.0,
62,5095.0,
63,5852.0,
64,7138.0,
65,8210.0,
66,9399.0,
67,10773.0,
68,12004.0,
69,12837.0,
70,15034.0,
71,16019.0,
72,17351.0,
73,18897.0,
74,19710.0,
75,21081.0,
76,21706.0,
77,22795.0,
78,23931.0,
79,25356.0,
80,26686.0,
81,27677.0,
82,29157.0,
83,30491.0,
84,31431.0,
85,33686.0,
86,35465.0,
87,37344.0,
88,39561.0,
89,41355.0,
90,42368.0,
91,43558.0,
92,44966.0,
93,46164.0,
94,48747.0,
95,50130.0,
96,52026.0,
97,53347.0,
98,54903.0,
99,0.0,55875.55033266544
100,0.0,57171.841250896454
101,0.0,58334.43684947491
102,0.0,59386.26978945732
103,0.0,60376.63482058048
104,0.0,61309.27551651001
105,0.0,62184.66309630871
106,0.0,62986.47505521774
107,0.0,63727.7222751379
108,0.0,64412.09597206116
