day,actual,testPredict
0,1.0,
1,2.0,
2,2.0,
3,3.0,
4,3.0,
5,7.0,
6,10.0,
7,13.0,
8,15.0,
9,24.0,
10,30.0,
11,50.0,
12,76.0,
13,100.0,
14,101.0,
15,190.0,
16,306.0,
17,432.0,
18,564.0,
19,763.0,
20,1004.0,
21,1227.0,
22,1412.0,
23,1682.0,
24,2357.0,
25,2900.0,
26,3763.0,
27,4246.0,
28,5473.0,
29,6741.0,
30,6956.0,
31,9008.0,
32,10268.0,
33,11537.0,
34,12350.0,
35,13324.0,
36,14545.0,
37,15456.0,
38,16364.0,
39,17531.0,
40,18494.0,
41,19895.0,
42,21019.0,
43,21628.0,
44,22511.0,
45,23343.0,
46,24759.0,
47,25492.0,
48,26314.0,
49,27059.0,
50,27869.0,
51,28309.0,
52,29648.0,
53,30533.0,
54,30839.0,
55,31532.0,
56,32138.0,
57,32848.0,
58,33193.0,
59,33690.0,
60,34728.0,
61,35463.0,
62,36078.0,
63,0.0,35790.98113018274
64,0.0,36307.7355158329
65,0.0,36737.03704202175
66,0.0,37039.76426804066
67,0.0,37290.67219662666
68,0.0,37533.64100801945
69,0.0,37832.96206891537
70,0.0,38090.31676709652
71,0.0,38325.22174060345
72,0.0,38554.729318618774
