day,actual,testPredict
0,1.0,
1,1.0,
2,1.0,
3,1.0,
4,1.0,
5,1.0,
6,1.0,
7,1.0,
8,1.0,
9,1.0,
10,1.0,
11,1.0,
12,1.0,
13,1.0,
14,1.0,
15,1.0,
16,1.0,
17,1.0,
18,1.0,
19,1.0,
20,1.0,
21,1.0,
22,1.0,
23,1.0,
24,1.0,
25,1.0,
26,1.0,
27,1.0,
28,1.0,
29,1.0,
30,1.0,
31,2.0,
32,2.0,
33,2.0,
34,6.0,
35,6.0,
36,22.0,
37,22.0,
38,41.0,
39,92.0,
40,107.0,
41,123.0,
42,138.0,
43,138.0,
44,187.0,
45,217.0,
46,252.0,
47,328.0,
48,413.0,
49,523.0,
50,640.0,
51,777.0,
52,1159.0,
53,1838.0,
54,2417.0,
55,3240.0,
56,4257.0,
57,4955.0,
58,5752.0,
59,6620.0,
60,7738.0,
61,8966.0,
62,10402.0,
63,11736.0,
64,12500.0,
65,13837.0,
66,15202.0,
67,16790.0,
68,18941.0,
69,20974.0,
70,22860.0,
71,25475.0,
72,26867.0,
73,28164.0,
74,29918.0,
75,32181.0,
76,34402.0,
77,36372.0,
78,38077.0,
79,38077.0,
80,41199.0,
81,42944.0,
82,46023.0,
83,50969.0,
84,53348.0,
85,54938.0,
86,56462.0,
87,58302.0,
88,60265.0,
89,62205.0,
90,64311.0,
91,66263.0,
92,68087.0,
93,0.0,69004.08149194717
94,0.0,70472.06119775772
95,0.0,71707.787722826
96,0.0,72757.84968352318
97,0.0,73699.09394741058
98,0.0,74579.40776824951
99,0.0,75359.64534521103
100,0.0,76041.9250805378
101,0.0,76648.25887799263
102,0.0,77184.7341003418
