day,actual,testPredict
0,1.0,
1,2.0,
2,11.0,
3,23.0,
4,31.0,
5,76.0,
6,106.0,
7,142.0,
8,150.0,
9,220.0,
10,327.0,
11,421.0,
12,613.0,
13,615.0,
14,967.0,
15,1578.0,
16,3038.0,
17,5704.0,
18,8403.0,
19,11727.0,
20,15800.0,
21,20884.0,
22,25681.0,
23,30841.0,
24,37877.0,
25,44876.0,
26,52410.0,
27,59648.0,
28,66663.0,
29,75833.0,
30,83948.0,
31,92506.0,
32,102987.0,
33,113833.0,
34,123160.0,
35,131815.0,
36,139875.0,
37,151061.0,
38,161779.0,
39,172348.0,
40,181026.0,
41,189033.0,
42,195749.0,
43,203020.0,
44,214454.0,
45,223691.0,
46,230597.0,
47,237474.0,
48,243382.0,
49,248416.0,
50,253519.0,
51,258222.0,
52,263460.0,
53,271590.0,
54,282143.0,
55,288045.0,
56,291996.0,
57,295106.0,
58,299691.0,
59,304372.0,
60,308314.0,
61,312977.0,
62,316415.0,
63,0.0,317037.25839591026
64,0.0,320147.343351841
65,0.0,322854.09382104874
66,0.0,325276.2507522106
67,0.0,327298.0153167248
68,0.0,329141.40442180634
69,0.0,331249.8106505871
70,0.0,333163.6597595215
71,0.0,334944.77398967743
72,0.0,336632.7210841179
