day,actual,testPredict
0,3.0,
1,4.0,
2,8.0,
3,11.0,
4,13.0,
5,16.0,
6,21.0,
7,27.0,
8,44.0,
9,60.0,
10,63.0,
11,85.0,
12,110.0,
13,196.0,
14,306.0,
15,429.0,
16,582.0,
17,643.0,
18,758.0,
19,955.0,
20,1229.0,
21,1563.0,
22,1937.0,
23,2455.0,
24,2792.0,
25,3147.0,
26,3809.0,
27,4355.0,
28,5069.0,
29,5734.0,
30,6567.0,
31,7209.0,
32,8043.0,
33,8925.0,
34,9777.0,
35,11208.0,
36,12105.0,
37,13023.0,
38,13677.0,
39,14275.0,
40,15006.0,
41,15907.0,
42,16876.0,
43,17849.0,
44,18704.0,
45,19260.0,
46,19751.0,
47,20574.0,
48,21321.0,
49,22650.0,
50,23642.0,
51,24153.0,
52,24967.0,
53,25321.0,
54,26357.0,
55,27257.0,
56,28727.0,
57,29692.0,
58,30917.0,
59,31998.0,
60,0.0,32211.219700455662
61,0.0,33206.23861241341
62,0.0,34043.510112047195
63,0.0,34804.49958729744
64,0.0,35503.8379304409
65,0.0,36191.3487457037
66,0.0,36918.152431726456
67,0.0,37589.15581691265
68,0.0,38232.83498096466
69,0.0,38858.95020890236
