day,actual,testPredict
0,1.0,
1,1.0,
2,1.0,
3,1.0,
4,1.0,
5,1.0,
6,1.0,
7,1.0,
8,1.0,
9,1.0,
10,1.0,
11,1.0,
12,1.0,
13,1.0,
14,1.0,
15,1.0,
16,1.0,
17,1.0,
18,1.0,
19,1.0,
20,1.0,
21,1.0,
22,1.0,
23,1.0,
24,1.0,
25,1.0,
26,1.0,
27,1.0,
28,1.0,
29,1.0,
30,1.0,
31,1.0,
32,1.0,
33,1.0,
34,1.0,
35,1.0,
36,1.0,
37,1.0,
38,7.0,
39,11.0,
40,18.0,
41,27.0,
42,39.0,
43,70.0,
44,78.0,
45,102.0,
46,122.0,
47,122.0,
48,167.0,
49,282.0,
50,442.0,
51,568.0,
52,642.0,
53,603.0,
54,779.0,
55,955.0,
56,1022.0,
57,1374.0,
58,1524.0,
59,1793.0,
60,1997.0,
61,2221.0,
62,2328.0,
63,2591.0,
64,3207.0,
65,3477.0,
66,4030.0,
67,4465.0,
68,4923.0,
69,5432.0,
70,5608.0,
71,6389.0,
72,6846.0,
73,7247.0,
74,7825.0,
75,8311.0,
76,8692.0,
77,9276.0,
78,9639.0,
79,10119.0,
80,10434.0,
81,10609.0,
82,10635.0,
83,10799.0,
84,10942.0,
85,11057.0,
86,11517.0,
87,11776.0,
88,11978.0,
89,12114.0,
90,12392.0,
91,12596.0,
92,12753.0,
93,12977.0,
94,13319.0,
95,13521.0,
96,13686.0,
97,13842.0,
98,14070.0,
99,14327.0,
100,14637.0,
101,15003.0,
102,15185.0,
103,0.0,14965.14299964905
104,0.0,15156.196294784548
105,0.0,15252.950172424316
106,0.0,15286.599445343018
107,0.0,15338.617347717285
108,0.0,15439.900030136108
109,0.0,15502.590127944946
110,0.0,15568.824350357056
111,0.0,15645.34160232544
112,0.0,15721.411766052246
