state,visited
Alabama,1
Alaska,1
Arkansas,1
Arizona,1
California,2
Colorado,1
Connecticut,1
Delaware,1
Florida,2
Georgia,1
Hawaii,1
Iowa,1
Idaho,1
Illinois,1
Indiana,1
Kansas,1
Kentucky,1
Louisiana,1
Maine,1
Maryland,1
Massachusetts,3
Michigan,1
Minnesota,1
Missouri,1
Mississippi,1
Montana,1
North Carolina,1
North Dakota,1
Nebraska,1
New Hampshire,1
New Jersey,2
New Mexico,1
Nevada,1
New York,2
Ohio,1
Oklahoma,1
Oregon,1
Pennsylvania,1
Rhode Island,1
South Carolina,1
South Dakota,1
Tennessee,1
Texas,2
Utah,1
Virginia,1
Vermont,1
Washington,2
Wisconsin,1
West Virginia,1
Wyoming,1
